RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
102001,United States,0,188200,184700,180400,176600,175400,174300,173300,171300,169100,166200,163500,162200,159500,155400,151300,150700,153100,155800,157500,158200,159800,161200,163500,163400,164300,161300,159300,155900,156700,157300,159000,158000,158300,157500,157800,157100,154700,151900,148900,148700,149900,150100,149500,147800,147900,148700,148800,148300,148000,148900,150800,152800,155100,156800,157500,158300,159300,161700,162800,163100,163300,164700,167000,168800,171900,173800,174400,174200,173700,174200,173500,174500,174800,175300,175500,176400,178400,180100,181600,181800,181900,182100,183700,186100,188600,190300,191700,192300,193400,192900,192900,191700,192000,193600,195500,196300,195900,195900,197100,198500,199400,200500,201100,202900,204700,205700,206700,208100,208400,208800,208000,209600,210400,211100,212300,213900,217100,218500,221100,224300,227100,227100,224400,223300,223000,222300,221800,222600,226100,228000,231100,233400,236500,236300,235700,234900,236100,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361800,362000,362500,363900,366200,362700,357400,354100,353300,349900,339200,327600,323900,322800,324800,324900,329600,332300,336300,335500,334400,333500,335600,336500,335200,333500,330200,331600,331200,335100,337600,340700,348900,351900,354200,349200,347700,347800,348300,349400,348900,352300,352600,353800,354900,353400,352600,351000,352600,356000,354800,353400,352200,350600,352200,350800,353200,354600,355300,356400,356800,355400,356900,357000,359200,359100,358800,358900,359000,358700,359600,357400,357600,353500,359200,362800,371400,371900,371700,372200,370700,373700,373700,377500,378600,378800,378000,379700,381600,382800,382900,384200,386400,386700,385400,385200,387500,390600,391300,388600,391300,392800,395500,395700,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,474400,462500,446700,436200,421400,408200,392900,380000,368300,356200,341700,331000,324800,320700,320200,326300,334900,341800,349700,356300,364000,366300,370600,368500,367200,362600,366300,363900,365800,361000,367100,365500,368600,363600,359800,356000,354000,354600,351900,347900,347600,345400,345100,338600,338900,336500,337200,334900,335700,339700,342300,347600,354400,363100,372700,377900,387500,395000,398200,399100,404400,419000,432300,442200,447100,450500,452700,454300,455300,454900,452900,454600,454600,458300,462000,463400,466600,467200,471200,474100,475200,476600,477200,483800,488800,494200,493100,497400,499700,504100,501800,499900,501500,509800,516900,518400,518200,520800,526200,528600,529000,531800,533300,531000,529700,525400,528100,521600,526400,528000,537300,539100,542000,542800,549500,560600,579000,588400,596500,598800,606700,607700,611400,612700,615300,616000,619600,623800,630300,627700,628600,622800,627200,629800,630600,629900,633600,635200
394463,"Chicago, IL",3,263000,259000,241800,229200,226500,227000,230800,230100,227400,223800,216600,214600,210700,206100,197800,191600,193000,195600,198400,200400,202000,201500,200900,202300,201100,198300,191200,190000,186700,187000,183700,185300,188000,188400,186200,181400,178300,173200,167500,164600,168300,172300,172800,170500,166500,167300,163000,162900,161000,162200,161600,163900,166200,168700,168100,166200,166700,165400,165700,163400,162800,162800,167000,174300,185900,192000,195300,195500,195900,197200,195100,196900,195500,195300,194100,196300,199300,202800,206400,207200,206400,203600,203800,204000,205800,207200,208000,206300,204300,196300,192700,188200,188100,186500,184300,183600,183700,185800,187500,188800,190700,192800,193100,194500,197400,201200,204200,206200,207600,207300,206400,203900,202000,200700,200200,201300,203100,206400,210600,214900,222400,223800,221500,218500,219500,220600,220000,221600,228300,226100,228300,232400,244700,246500,242300,234000,230200,227200
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207100,210800,212200,211800,209800,209300,210200,211000,211300,211800,212600,215300,219200,222500,224100,224000,224800,227200,229500,230300,231400,232700,235300,236400,237100,237000,237200,238400,239900,241600,242700,244100,246300,249000,251200,251500,251900,252600,255800,256000,258600,259000,261000,259900,257700,256000,255700,257600,260000,264000,268300,
394974,"Philadelphia, PA",5,211700,210400,206200,198000,195100,195500,197200,197400,198600,197200,196800,196800,201000,200900,195400,188700,186100,189300,191100,192600,193800,197100,200000,202000,203000,202600,197300,191400,188800,186500,188100,188100,192700,194300,199300,200900,199500,193600,184300,180800,180200,182500,181100,179200,179400,182300,183900,187500,187500,187300,184800,186300,186800,188200,183100,183000,185300,192300,195500,194900,193400,192100,189800,191000,193700,198100,197100,195800,194600,194900,194700,193900,196000,193900,192200,190700,191300,192800,193300,194600,193900,192200,191600,190500,191600,193400,194700,194900,193500,192500,193600,193700,193800,189800,191800,197200,198300,195700,191300,193700,195600,196100,196400,194400,195400,198400,199200,201700,200100,201600,201000,201500,201500,200000,198000,196400,195900,199000,199200,198300,198100,199200,201800,199600,198500,197900,198400,199500,201800,203700,206500,208900,214000,218600,218500,217300,217700,
395209,"Washington, DC",6,357200,347000,331400,317200,312600,310600,302800,294300,287100,281100,281200,278300,281500,275400,272800,273100,282900,296600,303900,303500,301600,301400,300800,296900,295000,297800,296700,291100,292300,285100,294600,291100,305700,305400,303600,300900,287400,279000,270800,272500,285400,294900,305400,297500,290400,283400,284300,281300,290600,295300,307700,312100,321200,322200,319900,317100,318800,318000,319500,315500,323700,326400,337300,340600,347000,348000,344600,340800,339800,340200,341400,339000,341200,340700,350300,350500,355100,348700,347600,346100,348300,351400,349400,349400,355300,356700,356900,348800,347400,345300,347800,349300,350000,346300,346600,348700,349300,350200,347800,348700,348600,351100,352400,355100,353800,354500,356000,356200,358600,357800,359500,358600,359800,359900,362100,362400,364500,366300,369200,372200,379800,382000,382900,377300,374400,374100,375100,375500,377100,377100,380200,383500,393000,392400,392100,385600,386500,
394856,"Miami-Fort Lauderdale, FL",7,255800,246400,235500,228100,224100,222300,213800,205800,194600,187700,175800,166900,157400,150000,141900,137600,138500,141700,143600,143400,143800,145000,145700,145300,145400,143800,143900,141500,137900,132300,126700,127800,130400,130400,123100,117700,114300,117700,120300,123700,127600,126200,124600,122900,124200,128100,130500,132700,134000,136100,138000,140800,141000,141700,142300,145300,147600,152900,156000,159600,157700,158800,162800,167100,170100,171500,173700,174700,176500,177900,180400,178500,179300,178700,182300,184900,188200,188000,188000,188100,191600,194000,195000,195100,197000,199400,205300,208000,210100,208600,208100,208600,205700,206500,207400,214700,216800,220000,219200,220500,221600,223000,225300,228200,228700,229700,229000,233300,234400,237900,236600,237800,236300,239300,242200,244700,245400,246700,251100,253900,257100,255200,254500,252300,251200,251300,251000,256400,259800,262600,261100,263100,268300,270400,268800,266900,267100,
394347,"Atlanta, GA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95200,95700,95900,97700,96700,97000,96600,97000,98300,101000,104700,107300,109200,110500,113700,117200,121500,123800,126300,127800,132000,136700,142700,144100,143700,141300,140100,140100,140500,140800,139800,141000,145200,150600,155300,156400,157200,156100,157600,159300,161700,162500,168100,170700,173300,170500,171000,171600,171500,172200,173300,174900,175500,175100,173700,172600,171700,174000,175200,177000,177400,179200,178800,180800,181800,185900,186700,188900,189200,190100,189600,190600,192300,193800,195800,198400,203900,205700,206900,205000,205800,205400,202500,204700,206400,211200,211700,215500,219500,221300,219100,218200,217200,218300,
394404,"Boston, MA",9,333000,327600,323300,320400,319700,319600,318200,316600,311300,305300,295200,293300,286200,289100,285800,292400,295600,302700,306800,307300,303400,308300,309800,312900,307700,307000,305600,309000,315300,322600,322600,321200,320100,316800,305900,293900,286000,287800,295300,304900,313900,316500,317200,309800,305600,299600,299500,297400,301700,303200,308600,314800,322300,321700,318900,318600,321600,320700,308800,305500,307600,319200,321500,323200,324300,328400,329000,329800,328400,329300,332800,341800,348700,349600,349500,349900,353900,354700,353900,354200,354700,357000,358700,361900,361500,360500,359900,360700,364900,368000,369700,369700,369100,370200,370400,367400,365800,368100,372100,376900,377800,379000,381100,382200,383800,385200,387700,390600,392600,393100,394600,395200,397200,397600,400800,404600,411100,413900,412600,413500,413900,419300,421300,425600,425900,426000,423300,425700,428800,428500,429300,433200,438900,438800,438000,438400,442000,
